Title,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Fax,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm
Ipswich Housing Service Centre,,4 Bell Street,Ipswich,4305,-27.612402,152.760302,(07) 3280 1420; 1800 636 390; (07) 3280 1778 (maintenance enquiries),(07) 3280 1421,,,,,,,,,,,,,,
Fortitude Valley Housing Service Centre,,505 St Pauls Terrace,Fortitude Valley,4006,-27.45386,153.034416,(07) 3872 0320; (07) 3872 0303 (maintenance enquiries),(07) 3872 0366,,,,,,,,,,,,,,
Chermside Housing Service Centre,,"Lvl 3, 18 Banfield Street",Chermside,4032,-27.381299,153.030764,(07) 3896 9900; (07) 3896 9973 (maintenance enquiries),(07) 3896 9904,,,,,,,,,,,,,,
Buranda Housing Service Centre,,"Lvl 1, 221 Logan Road",Buranda,4102,-27.496579,153.040391,(07) 3405 5300; (07) 3405 5322 (maintenance enquiries),(07) 3405 5324,,,,,,,,,,,,,,
Inala Housing Service Centre,,14 Wirraway Street,Inala,4077,-27.601393,152.974654,(07) 3362 9200; (07) 3362 9230 (maintenance enquiries),(07) 3362 9220,,,,,,,,,,,,,,
Capalaba Housing Service Centre,Capalaba Tower Court Building, 36 Old Cleveland Road,Capalaba,4157,-27.5205229,153.190782,(07) 3362 9100; (07) 3362 9109 (maintenance enquiries),(07) 3362 9104,,,,,,,,,,,,,,
Robina Housing Service Centre,,Robina Town Centre,Robina,4226,-28.070145,153.376411,(07) 5583 2200; 1300 650 917 (maintenance enquiries),(07) 5583 2242,,,,,,,,,,,,,,
Woodridge Housing Service Centre,,11-13 Station Road,Woodridge,4114,-27.639187,153.106305,(07) 3884 9800; (07) 3884 9840 (maintenance enquiries),(07) 3884 9830,,,,,,,,,,,,,,
Caboolture Housing Service Centre,"Lvl 5, Caboolture Park Shopping Centre",60-78 King Street,Caboolture,4510,-27.084958,152.948498,(07) 5431 2501; (07) 3480 1580 (maintenance enquiries),(07) 5431 2505,,,,,,,,,,,,,,
Redcliffe Housing Service Centre,Lvl 1 Blue Water Square Shopping Centre, 20 Anzac Avenue,Redcliffe,4020,-27.230427,153.114933,(07) 3480 1550; (07) 3480 1580 (maintenance enquiries),(07) 3480 1577,,,,,,,,,,,,,,
