Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
13846673994,Dept of Justice & Attorney General,,,Dept of Justice & Attorney General,QH,State,Alcohol and Other Drugs,,Grant,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,151018,151018,,
13846673994,Dept of Justice & Attorney General,,,Dept of Justice & Attorney General,QH,State,Alcohol and Other Drugs,,Grant,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,77609,77609,,
13846673994,Dept of Justice & Attorney General,,,Dept of Justice & Attorney General,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,309832,309832,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",No,Brisbane City,,,,545997,545997,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,9347,9347,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The National Drug Strategy funding program is a joint funding program between Commonwealth Department of Health and Ageing and Queensland Health to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,102788,102788,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,132679,132679,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,128542,128542,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,126932,126932,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,126932,126932,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,129487,129487,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,135471,135471,,
64102943304,DRUG ARM Australasia,,,DRUG ARM Australasia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,The Alcohol and Drug Treatment Program aims to minimise the harm associated with alcohol other drug use in Queensland. ,No,Brisbane City,,,,136087,136087,,
93098223208,Institute for Healthy Communities Aust Ltd,,,Institute for Healthy Communities Australia,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/09/2012,fixed term,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The National Drug Strategy funding program is a joint funding program between Commonwealth Department of Health and Ageing and Queensland Health to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,8379,8379,,
58072422925,Ozcare,,,Ozcare,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,1251905,1251905,,
58072422925,Ozcare,,,Ozcare,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Drug Court Trial involves the diversion of drug dependent offenders to treatment and rehabilitation programs. Funding is provided to the non-government sector to provide alcohol and drug rehabilitation services and to the government sector to provide assessment, coordination, referral and detoxification services.",No,Brisbane City,,,,2126190,2126190,,
58072422925,Ozcare,,,Ozcare,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The National Drug Strategy funding program is a joint funding program between Commonwealth Department of Health and Ageing and Queensland Health to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,167224,167224,,
29409225509,Queensland Police Service,,,Queensland Police Service,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,131818,131818,,
29409225509,Queensland Police Service,,,Queensland Police Service,QH,State,Alcohol and Other Drugs,,Grant,Operational,01/07/2011,30/06/2014,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The National Drug Strategy funding program is a joint funding program between Commonwealth Department of Health and Ageing and Queensland Health to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",Yes,Brisbane City,,,,2241912,747304,,
63095164588,Redbourne Business Services (Australia) Pty. Limited,,,Redbourne Business Services (Australia) Pty. Limited,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,874064,874064,,
14211506904,St Vincent de Paul Society Queensland,,,St Vincent de Paul Society Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,83206,83206,,
39906010979,The Corporation of the Synod of the Diocese of Brisbane,,,Anglicare Southern Queensland,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",No,Brisbane City,,,,254829,254829,,
68140243438,The Queensland Network of Alcohol and other Drugs Agencies Ltd,,,The Queensland Network of Alcohol and other Drugs Agencies Ltd,QH,State,Alcohol and Other Drugs,,Grant,Operational,01/07/2012,30/09/2012,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,76840,76840,,
68140243438,The Queensland Network of Alcohol and other Drugs Agencies Ltd,,,The Queensland Network of Alcohol and other Drugs Agencies Ltd,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",Yes,Brisbane City,,,,94670,94670,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,31/12/2012,fixed term,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,The Gambling Strategy Scheme funds a residential gambling help support service to people in Queensland adversely affected by gambling.,No,Brisbane City,,,,56788,56788,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/01/2013,30/06/2013,fixed term,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,The Gambling Strategy Scheme funds a residential gambling help support service to people in Queensland adversely affected by gambling.,No,Brisbane City,,,,54713,54713,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"Illicit Drug Diversion Initiative funding is for the provision of appropriate assessment, education and treatment programs for cannabis offenders who meet the strict eligibility criteria, to be diverted from the criminal justice system through attendance at a Drug Diversion Assessment Program.",No,Brisbane City,,,,241416,241416,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,936179,936179,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Residential treatment services,,"The Alcohol, Tobacco and Other Drugs State Funding Program aims to minimise the harm associated with alcohol, tobacco and other drug use in Queensland. ",No,Brisbane City,,,,1239502,1239502,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Drug Court Trial involves the diversion of drug dependent offenders to treatment and rehabilitation programs. Funding is provided to the non-government sector to provide alcohol and drug rehabilitation services and to the government sector to provide assessment, coordination, referral and detoxification services.",No,Brisbane City,,,,471701,471701,,
32234126186,The Salvation Army (QLD) Property Trust,,,The Salvation Army (QLD) Property Trust,QH,State,Alcohol and Other Drugs,,Service procurement,Operational,01/07/2012,30/06/2013,ongoing,Health and wellbeing,Alcohol and Other Drugs,Non-residential treatment services,,"The Drug Court Trial involves the diversion of drug dependent offenders to treatment and rehabilitation programs. Funding is provided to the non-government sector to provide alcohol and drug rehabilitation services and to the government sector to provide assessment, coordination, referral and detoxification services.",No,Brisbane City,,,,176205,176205,,
