"Centre Code","Centre Name","Centre Type","All Student Count","Enrolment Effective","Actual Address Line 1","Actual Address Line 2","Actual Address Line 3","Actual Address Post Code","OIC Title","Postal Address 1","Postal Address 2","Postal Address 3","Postal Address Post Code","Band","Phone Number","Restrict Contact to Outside Teaching Hours","Fax Number","Internet Site","Official Low Year Level","Official High Year Level","Geographic Region","Federal Electorate","State Electorate","Local Government Area"
"5676","ACE Positive Learning Centre","Positive Learning Centre","0","February 2012","Edmund Street","Kippa Ring","","4021","Officer-in-Charge","PO Box 3183","Clontarf MDC","","4019","","(07) 3284 9144","N","","","PY","07","North Coast","Petrie","Redcliffe","Moreton Bay (R)"
"5385","Advisory and Development Services","Administrative Unit (Other)","0","","347 Old Cleveland Road","Coorparoo","","4151","Manager","PO Box 1238","Coorparoo DC","","4151","","(07) 3421 6310","N","(07) 3421 6400","","","","Central Office","Griffith","Greenslopes","Brisbane (C)"
"1983","Agnes Water State School","State School","278","February 2012","1 Donohue Drive","Agnes Water","","4677","Principal","PO Box 238","Agnes Water","","4677","07","(07) 4902 1320","N","(07) 4902 1300","www.agnewatess.eq.edu.au","PY","07","North Coast","Flynn","Burnett","Gladstone (R)"
"2421","Agnew School (Brisbane)","Non-State School","","","190 Ingleston Road","Wakerley","","4154","Administrator","PO Box 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","www.agnew.com.au","03","12","Metropolitan","Bonner","Chatsworth","Brisbane (C)"
"2422","Agnew School (Bundaberg)","Associated Facility","","","669 Moore Park Road","Welcome Creek","","4670","Administrator","PO Box 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","www.agnew.com.au","03","12","North Coast","Flynn","Burnett","Bundaberg (R)"
"2423","Agnew School (Maryborough)","Associated Facility","","","Fazio Road","St Helens, via Maryborough","","4650","Administrator","PO Box 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","","03","12","North Coast","Wide Bay","Maryborough","Fraser Coast (R)"
"2424","Agnew School (Nambour)","Associated Facility","","","281 Windsor Road","Nambour","","4560","Administrator","PO BOx 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","www.agnew.com.au","03","12","North Coast","Fairfax","Nicklin","Sunshine Coast (R)"
"2425","Agnew School (Toowoomba)","Associated Facility","","","40 Gerrard Street","Toowoomba","","4350","Administrator","PO Box 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","www.agnew.com.au","03","12","Darling Downs South West","Groom","Toowoomba South","Toowoomba (R)"
"2426","Agnew School (Warwick)","Associated Facility","","","106 Glengallan Road","Warwick","","4370","Administrator","PO Box 3422","Tingalpa DC","","4173","","(07) 3390 6562","N","(07) 3390 7978","","03","07","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"0598","Airville State School","State School","43","February 2012","Old Clare Road","Ayr","","4807","Principal","MS 54","Ayr","","4807","06","(07) 4790 7333","N","(07) 4790 7300","www.airvilless.eq.edu.au","PY","07","North Queensland","Dawson","Burdekin","Burdekin (S)"
"7559","Aitkenvale SS Special Education Unit (ESL)","Special Education Unit (ESL)","0","February 2012","67 - 87 Wotton Street","Aitkenvale","","4814","Principal","PO Box 50","Aitkenvale","","4814","","(07) 4779 0266","N","","","PY","07","North Queensland","Herbert","Mundingburra","Townsville (C)"
"0801","Aitkenvale State School","State School","382","February 2012","67-85 Wotton Street","Aitkenvale","","4814","Principal","PO Box 50","Aitkenvale","","4814","08","(07) 4779 0266","N","(07) 4725 5989","www.aitkenvaless.eq.edu.au","PY","07","North Queensland","Herbert","Mundingburra","Townsville (C)"
"5661","Albany Creek SHS - Special Education Program","Special Education Program","0","February 2012","Albany Forest Drive","Albany Creek","","4035","Head of Special Education Services","PO Box 40","Albany Creek","","4035","05","(07) 3325 6333","N","(07) 3325 6300","","08","12","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"5804","Albany Creek SS - Special Education Program","Special Education Program","0","February 2012","696 Albany Creek Road","Albany Creek","","4035","Head of Special Education Services","696 Albany Creek Road","Albany Creek","","4035","05","(07) 3264 0111","N","(07) 3264 0100","","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"2155","Albany Creek State High School","State High School","1168","February 2012","Albany Forest Drive","Albany Creek","","4035","Principal","PO Box 40","Albany Creek","","4035","10","(07) 3325 6333","N","(07) 3325 6300","www.albacreeshs.eq.edu.au","08","12","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"0190","Albany Creek State School","State School","806","February 2012","696 Albany Creek Road","Albany Creek","","4035","Principal","696 Albany Creek Road","Albany Creek","","4035","10","(07) 3264 0111","N","(07) 3264 0100","www.albacreess.eq.edu.au","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"5805","Albany Hills SS - Special Education Program","Special Education Program","0","February 2012","Keong Road","Albany Creek","","4035","Teacher-in-Charge","PO Box 378","Albany Creek","","4035","","(07) 3264 0777","N","(07) 3264 0700","","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"1892","Albany Hills State School","State School","753","February 2012","Keong Road","Albany Creek","","4035","Principal","PO Box 378","Albany Creek","","4035","10","(07) 3264 0777","N","(07) 3264 0700","www.albahillss.eq.edu.au","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"5636","Albert Park Flexible Learning Centre","Non-State School","","","1 Hale Street (Cnr MIlton Road)","Brisbane","","4000","Principal","PO Box 923","Indooroopilly","","4068","","(07) 3327 2288","N","(07) 3327 2217","www.ereflc.org.au","08","12","Metropolitan","Brisbane","Mount Coot-tha","Brisbane (C)"
"0038","Albert State School","State School","134","February 2012","210-220 Albert Street","Maryborough","","4650","Principal","210-220 Albert Street","Maryborough","","4650","07","(07) 4120 0888","N","(07) 4120 0800","www.albertss.eq.edu.au","PY","07","North Coast","Wide Bay","Maryborough","Fraser Coast (R)"
"2321","Aldridge SHS - Special Education Program","Special Education Program","0","February 2012","Boys Avenue","Maryborough","","4650","Head of Special Education Services","PO Box 3061","Pallas Street","Maryborough","4650","07","(07) 4120 8453","N","(07) 4120 8465","www.aldridgeshs.eq.edu.au","08","12","North Coast","Wide Bay","Maryborough","Fraser Coast (R)"
"2017","Aldridge State High School","State High School","973","February 2012","Boys Avenue","Maryborough","","4650","Principal","PO Box 3061","Pallas Street","Maryborough","4650","10","(07) 4120 8444","N","(07) 4120 8400","www.aldridgeshs.eq.edu.au","08","12","North Coast","Wide Bay","Maryborough","Fraser Coast (R)"
"1963","Alexandra Bay State School","State School","38","February 2012","Cape Tribulation Road","Cape Tribulation Via Mossman","","4873","Principal","PMB 21","Cape Tribulation Road","Via Mossman","4873","05","(07) 4098 9137","N","(07) 4098 9182","www.alexbayss.eq.edu.au","PY","07","Far North Queensland","Leichhardt","Cook","Cairns (R)"
"1642","Alexandra Hills SHS - Special Education Program","Special Education Program","0","February 2012","Windemere Road","Alexandra Hills","","4161","Head of Special Education Services","PO Box 234","Capalaba","","4157","05","(07) 3820 1444","N","(07) 3820 1400","www.alexhillshs.eq.edu.au","08","12","South East","Bowman","Capalaba","Redland (C)"
"5163","Alexandra Hills SS - Special Education Program","Special Education Program","0","February 2012","12 Princeton Avenue","Alexandra Hills","","4161","Head of Special Education Services","P O Box 5503","Alexandra Hills","","4161","05","(07) 3820 0339","N","(07) 3820 0300","www.alexhillss.eq.edu.au","PY","07","South East","Bowman","Capalaba","Redland (C)"
"2175","Alexandra Hills State High School","State High School","1219","February 2012","Windemere Road","Alexandra Hills","","4161","Principal","PO Box 234","Capalaba","","4157","11","(07) 3820 1444","N","(07) 3820 1400","www.alexhillshs.eq.edu.au","08","12","South East","Bowman","Capalaba","Redland (C)"
"0405","Alexandra Hills State School","State School","284","February 2012","12 Princeton Avenue","Alexandra Hills","","4161","Principal","P O Box 5503","Alexandra Hills","","4161","07","(07) 3820 0333","N","(07) 3820 0300","www.alexhillss.eq.edu.au","PY","07","South East","Bowman","Capalaba","Redland (C)"
"5806","Algester SS - Special Education Program","Special Education Program","0","February 2012","19 Endiandra Street","Algester","","4115","Head of Special Education Services","PO Box 5121","Algester","","4115","05","(07) 3712 5111","N","(07) 3712 5100","","PY","07","Metropolitan","Rankin","Algester","Brisbane (C)"
"1866","Algester State School","State School","971","February 2012","19 Endiandra Street","Algester","","4115","Principal","PO Box 5121","Algester","","4115","10","(07) 3712 5111","N","(07) 3712 5100","www.algesterss.eq.edu.au","PY","07","Metropolitan","Rankin","Algester","Brisbane (C)"
"5369","All Hallows' School (Brisbane)","Non-State School","","","547 Ann Street","Brisbane","","4000","Principal","547 Ann Street","Brisbane","","4000","","(07) 3831 3100","N","(07) 3832 6140","www.allhallows.qld.edu.au","05","12","Metropolitan","Brisbane","Brisbane Central","Brisbane (C)"
"5452","All Saints Anglican School (Merrimac)","Non-State School","","","Highfield Drive","Merrimac","","4226","Headmaster","Highfield Drive","Merrimac","","4226","","(07) 5530 2855","N","(07) 5530 3314","www.asas.qld.edu.au","PY","12","South East","Mcpherson","Mudgeeraba","Gold Coast (C)"
"5600","All Saints Primary School (Albany Creek)","Non-State School","","","4 Faheys Road East","Albany Creek","","4035","Principal","4 Faheys Road East","Albany Creek","","4035","","(07) 3264 3695","N","(07) 3264 5877","www.allsaints.qld.edu.au","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"5111","All Saints' School","Non-State School","","","15 Oliver Street","Boonah","","4310","Principal","15 Oliver Street","Boonah","","4310","","(07) 5463 1322","N","(07) 5463 2597","www.allsaintsboonah.qld.edu.au","PY","07","South East","Wright","Beaudesert","Scenic Rim (R)"
"5451","All Souls St Gabriels School (Charters Towers)","Non-State School","","","30 Dr George Ellis Drive","Charters Towers","","4820","Principal","PO Box 235","Charters Towers","","4820","","(07) 4788 2201","N","(07) 4787 3049","www.allsouls.qld.edu.au","PY","12","North Queensland","Kennedy","Dalrymple","Charters Towers (R)"
"2206","Allenstown SS - Special Education Program","Special Education Program","0","February 2012","Upper Dawson Road","Rockhampton","","4700","Head of Special Education Services","Dawson Road","Rockhampton","","4700","05","(07) 4930 0109","Y","(07) 4930 0100","","PY","07","Central Queensland","Capricornia","Rockhampton","Rockhampton (R)"
"0155","Allenstown State School","State School","394","February 2012","Upper Dawson Road","Rockhampton","","4700","Principal","PO Box 8444","Allenstown","","4700","08","(07) 4930 0111","N","(07) 4930 0100","www.allenstownss.eq.edu.au","PY","07","Central Queensland","Capricornia","Rockhampton","Rockhampton (R)"
"2237","Alliance of Charters Towers State Schools","Consortium","0","","91-93 Gill Street","Charters Towers","","4820","Coordinator","PO Box 1148","Charters Towers","","4820","","(07) 4787 2430","N","(07) 4787 2413","www.actss.info","","","North Queensland","Kennedy","Dalrymple","Charters Towers (R)"
"0773","Alligator Creek State School","State School","412","February 2012","50 Grasstree Road","Alligator Creek Via Mackay","","4740","Principal","50 Grasstree Road","Alligator Creek","via Mackay","4740","08","(07) 4956 4166","N","(07) 4956 4417","www.allicreess.eq.edu.au","PY","07","Central Queensland","Capricornia","Mirani","Mackay (R)"
"0003","Allora P-10 State School","State School","222","February 2012","21 Warwick Street","Allora","","4362","Principal","PO Box 6","Allora","","4362","08","(07) 4666 7222","N","(07) 4666 7299","www.allorass.eq.edu.au","PY","10","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"5807","Allora SS - Special Education Program","Special Education Program","0","February 2012","21 Warwick Street","Allora","","4362","Teacher-in-Charge","PO Box 6","Allora","","4362","","(07) 4666 7222","N","(07) 4666 7299","","PY","10","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"0430","Alloway State School","State School","50","February 2012","4334 Goodwood Road","Bundaberg","","4670","Principal","4334 Goodwood Road","Bundaberg","","4670","05","(07) 4159 7352","N","(07) 4159 7508","www.allowayss.eq.edu.au","PY","07","North Coast","Hinkler","Burnett","Bundaberg (R)"
"0870","Aloomba State School","State School","88","February 2012","Nielsen Street","Aloomba","","4871","Principal","c/- Post Office","Aloomba","","4871","06","(07) 4043 3888","N","(07) 4043 3800","www.aloombass.eq.edu.au","PY","07","Far North Queensland","Kennedy","Mulgrave","Cairns (R)"
"0517","Alpha State School","State School","63","February 2012","Milton Street","Alpha","","4724","Principal","Milton Street","Alpha","","4724","07","(07) 4987 0888","N","(07) 4987 0800","www.alphass.eq.edu.au","PY","10","Central Queensland","Maranoa","Gregory","Barcaldine (R)"
"1719","Amamoor State School","State School","64","February 2012","2 Elizabeth Street","Amamoor","","4570","Principal","c/- Post Office","Amamoor","","4570","06","(07) 5401 1333","N","(07) 5401 1300","www.amamoorss.eq.edu.au","PY","07","North Coast","Wide Bay","Gympie","Gympie (R)"
"3553","Amaroo Environmental Education Centre","Outdoor and Environmental Education Centre","0","","90 Kleinton School Road","Kleinton","","4352","Principal","90 Kleinton School Road","Kleinton","","4352","06","(07) 4696 7140","N","(07) 4696 7036","www.amarooeec.eq.edu.au","","","Darling Downs South West","Groom","Nanango","Toowoomba (R)"
"6590","Amberley District SS - Special Education Program","Special Education Program","0","February 2012","37 Deebing Creek Road","Yamanto","","4305","Teacher-in-Charge","37 Deebing Creek Road","Yamanto","","4305","","(07) 3280 3111","N","(07) 3288 0313","","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0115","Amberley District State School","State School","657","February 2012","37 Deebing Creek Road","Yamanto","","4305","Principal","37 Deebing Creek Road","Yamanto","","4305","08","(07) 3280 3111","N","(07) 3288 0313","www.amberleydistrictss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"1415","Ambrose State School","State School","91","February 2012","39 Gentle Annie Road","Ambrose","","4695","Principal","39 Gentle Annie Road","Ambrose","","4695","05","(07) 4975 1165","Y","(07) 4975 1432","www.ambrosess.eq.edu.au","PY","07","Central Queensland","Flynn","Gladstone","Gladstone (R)"
"1629","Amiens State School","State School","80","February 2012","1337 Amiens Road","Amiens","","4380","Principal","1337 Amiens Road","Amiens","","4380","06","(07) 4683 3177","N","(07) 4683 3220","www.amiensss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"0474","Anakie State School","State School","102","February 2012","Cook Street","Anakie","","4702","Principal","PO Box 316","Sapphire","","4702","06","(07) 4981 1111","N","(07) 4985 4227","www.anakiess.eq.edu.au","PY","07","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"0096","Ananda Marga River School","Non-State School","","","251 Bridge Creek Road","Maleny","","4552","Principal","PO Box 411","Maleny","","4552","","(07) 5494 3559","N","(07) 5494 3577","www.amriverschool.org","PY","07","North Coast","Fisher","Glass House","Sunshine Coast (R)"
"5808","Andergrove SS - Special Education Program","Special Education Program","0","February 2012","Fernleigh Avenue","Andergrove Mackay","","4740","Teacher-in-Charge","PO Box 8289","Mount Pleasant","Mackay","4740","","(07) 4955 4388","N","(07) 4955 1058","","PY","07","Central Queensland","Dawson","Mackay","Mackay (R)"
"1572","Andergrove State School","State School","367","February 2012","Fernleigh Avenue","Andergrove Mackay","","4740","Principal","PO Box 8289","Mount Pleasant","Mackay","4740","08","(07) 4998 9333","N","(07) 4955 1058","www.andergross.eq.edu.au","PY","07","Central Queensland","Dawson","Mackay","Mackay (R)"
"5446","Anglican Church Grammar School","Non-State School","","","Oaklands Parade","East Brisbane","","4169","Headmaster","Oaklands Parade","East Brisbane","","4169","","(07) 3896 2200","N","(07) 3891 5976","www.churchie.com.au","PY","12","Metropolitan","Griffith","South Brisbane","Brisbane (C)"
"5573","Annandale Christian College (Townsville)","Non-State School","","","Jonquil Crescent","Annandale","","4814","Principal","PO Box 1366","Aitkenvale","","4814","","(07) 4725 2082","N","(07) 4725 4178","www.acs.qld.edu.au","PY","12","North Queensland","Dawson","Mundingburra","Townsville (C)"
"5809","Annandale SS - Special Education Program","Special Education Program","0","February 2012","Cnr Oleander St & Yolanda Drive","Annandale","","4814","Head of Special Education Services","Cnr Oleander St & Yolanda Drive","Annandale","","4814","05","(07) 4729 5111","N","(07) 4729 5100","","PY","07","North Queensland","Dawson","Mundingburra","Townsville (C)"
"0440","Annandale State School","State School","889","February 2012","Cnr Oleander St & Yolanda Drive","Annandale","","4814","Principal","Cnr Oleander St & Yolanda Drive","Annandale","","4814","10","(07) 4729 5111","N","(07) 4729 5100","www.annandaless.eq.edu.au","PY","07","North Queensland","Dawson","Mundingburra","Townsville (C)"
"1294","Applethorpe State School","State School","43","February 2012","25576 New England Highway","Applethorpe","","4378","Principal","25576 New England Highway","Applethorpe","","4378","05","(07) 4683 2203","N","(07) 4683 2542","www.applethoss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"6114","Application Operations","Administrative Unit (Other)","0","","80 Albert Street","Brisbane","","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 0404","N","(07) 3229 8695","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5316","Aquinas College","Non-State School","","","Edmund Rice Drive","Ashmore","","4214","Principal","PO Box 34","Ashmore City","","4214","","(07) 5510 2888","N","(07) 5510 2899","www.aquinas.qld.edu.au","08","12","South East","Moncrieff","Southport","Gold Coast (C)"
"0312","Aramac State School","State School","44","February 2012","67 Porter Street","Aramac","","4726","Principal","PO Box 92","Aramac","","4726","07","(07) 4651 3177","N","(07) 4651 3210","www.aramacss.eq.edu.au","PY","10","Central Queensland","Maranoa","Gregory","Barcaldine (R)"
"1266","Aratula State School","State School","24","February 2012","41 Elizabeth Street","Aratula","","4309","Principal","41 Elizabeth Street","Aratula","","4309","05","(07) 5463 8158","N","(07) 5463 8389","www.aratulass.eq.edu.au","PY","07","South East","Wright","Beaudesert","Scenic Rim (R)"
"0813","Arcadia Valley State School","State School","5","February 2012","4831 Arcadia Valley Road","Arcadia Valley","","4454","Principal","4831 Arcadia Valley Road","Arcadia Valley","via Injune","4454","05","(07) 4626 7110","Y","(07) 4626 7145","www.arcavallss.eq.edu.au","PY","07","Darling Downs South West","Flynn","Gregory","Central Highlands (R)"
"6125","Arethusa College (Deception Bay)","Non-State School","","","1-83 Deception Bay Road","Deception Bay","","4508","Principal","PO Box 565","Burpengary","","4505","","(07) 3888 0709","N","(07) 3888 5143","","08","12","North Coast","Petrie","Murrumba","Moreton Bay (R)"
"7220","Arethusa College (Spring Hill)","Associated Facility","","","25 Quarry Street","Spring Hill","","4004","Acting Principal","PO Box 230","Burpengary","","4505","","(07) 3888 0709","N","","","07","12","Metropolitan","Brisbane","Brisbane Central","Brisbane (C)"
"6604","Arundel Early Intervention Centre","Support Unit (Other)","0","","9a Byth Street","Arundel","","4214","Teacher-in-Charge","9a Byth Street","Arundel","","4214","","(07) 5561 4888","N","(07) 5561 4800","","PY","03","South East","Fadden","Southport","Gold Coast (C)"
"3288","Arundel SS - Special Education Program","Special Education Program","0","February 2012","Cnr Napper Road and Arundel Drive","Arundel","","4214","Head of Special Education Services","Cnr Napper Road & Arundel Drive","Arundel","","4214","06","(07) 5561 4840","N","(07) 5561 4800","www.arundelss.eq.edu.au","PY","07","South East","Fadden","Southport","Gold Coast (C)"
"1997","Arundel State School","State School","1052","February 2012","Cnr Napper Road & Arundel Drive","Arundel","","4214","Principal","Cnr Napper Road & Arundel Drive","Arundel","","4214","10","(07) 5561 4888","N","(07) 5561 4800","www.arundelss.eq.edu.au","PY","07","South East","Fadden","Southport","Gold Coast (C)"
"7613","ASC - Australian Sports College (Runaway Bay)","Non-State School","","","Cnr Sports Drive & Morala Avenue","Runaway Bay","","4216","Unknown","PO Box 10851","Southport BC","","4215","","","N","","","","","South East","Fadden","Broadwater","Gold Coast (C)"
"0296","Ascot State School","State School","767","February 2012","Pringle Street","Ascot","","4007","Principal","Pringle Street","Ascot","","4007","09","(07) 3326 9333","N","(07) 3326 9300","www.ascotss.eq.edu.au","PY","07","Metropolitan","Brisbane","Clayfield","Brisbane (C)"
"0186","Ashgrove State School","State School","704","February 2012","31 Glory Street","Ashgrove","","4060","Principal","PO Box 2077","Ashgrove West","","4060","09","(07) 3858 4777","N","(07) 3858 4700","www.ashgrovess.eq.edu.au","PY","07","Metropolitan","Ryan","Ashgrove","Brisbane (C)"
"6159","Ashmore SS - Special Education Program","Special Education Program","0","February 2012","Currumburra Road","Ashmore","","4214","Teacher-in-Charge","Currumburra Road","Ashmore","","4214","","(07) 5656 1333","N","(07) 5656 1300","","PY","07","South East","Moncrieff","Surfers Paradise","Gold Coast (C)"
"1871","Ashmore State School","State School","792","February 2012","Currumburra Road","Ashmore","","4214","Principal","Currumburra Road","Ashmore","","4214","09","(07) 5656 1333","N","(07) 5656 1300","www.ashmoress.eq.edu.au","PY","07","South East","Moncrieff","Surfers Paradise","Gold Coast (C)"
"0512","Ashwell State School","State School","67","February 2012","35 Reinke Road","Ashwell via Rosewood","","4340","Principal","35 Reinke Road","Ashwell via Rosewood","","4340","05","(07) 5464 1184","N","(07) 5464 2539","www.ashwellss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"3515","Aspley East SS - Special Education Program","Special Education Program","0","February 2012","31 Helena Street","Aspley","","4034","Head of Special Education Services","31 Helena Street","Aspley","","4034","06","(07) 3867 2719","N","(07) 3263 7527","www.aspleastss.eq.edu.au","PY","07","Metropolitan","Petrie","Aspley","Brisbane (C)"
"1004","Aspley East State School","State School","846","February 2012","31 Helena Street","Aspley","","4034","Principal","31 Helena Street","Aspley","","4034","10","(07) 3867 2777","N","(07) 3263 7527","www.aspleastss.eq.edu.au","PY","07","Metropolitan","Petrie","Aspley","Brisbane (C)"
"0534","Aspley SHS - Special Education Program","Special Education Program","0","February 2012","651 Zillmere Road","Aspley","","4034","Head of Special Education Services","651 Zillmere Road","Aspley","","4034","06","(07) 3863 9238","N","(07) 3863 9239","","08","12","Metropolitan","Petrie","Aspley","Brisbane (C)"
"3031","Aspley Special School","Special School","89","February 2012","751 Zillmere Road","Aspley","","4034","Principal","PO Box 67","Zillmere","","4034","09","(07) 3867 2333","N","(07) 3263 7802","www.aspleyspecs.eq.edu.au","SS","SS","Metropolitan","Petrie","Aspley","Brisbane (C)"
"6053","Aspley SS - Special Education Program","Special Education Program","0","February 2012","Maundrell Terrace","Aspley","","4034","Head of Special Education Services","Maundrell Terrace","Aspley","","4034","05","(07) 3863 9111","N","(07) 3863 9100","","0P","07","Metropolitan","Lilley","Aspley","Brisbane (C)"
"2076","Aspley State High School","State High School","695","February 2012","651 Zillmere Road","Aspley","","4034","Principal","651 Zillmere Road","Aspley","","4034","10","(07) 3863 9222","N","(07) 3863 9200","www.aspleyshs.eq.edu.au","08","12","Metropolitan","Petrie","Aspley","Brisbane (C)"
"0610","Aspley State School","State School","659","February 2012","Maundrell Terrace","Aspley","","4034","Principal","Maundrell Terrace","Aspley","","4034","09","(07) 3863 9111","N","(07) 3863 9100","www.aspleyss.eq.edu.au","PY","07","Metropolitan","Lilley","Aspley","Brisbane (C)"
"5313","Assisi Catholic College","Non-State School","","","173 Billinghurst Crescent","Upper Coomera","","4209","Principal","173 Billinghurst Crescent","Upper Coomera","","4209","","(07) 5529 4700","N","(07) 5529 4711","www.assisi.qld.edu.au","PY","12","South East","Forde","Albert","Gold Coast (C)"
"5393","Assumption College (Warwick)","Non-State School","","","6 Locke Street","Warwick","","4370","Principal","PO Box 347","Warwick","","4370","","(07) 4660 4000","N","(07) 4660 4099","www.acwarwick.catholic.edu.au","08","12","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"3257","Atherton SHS - Special Education Program","Special Education Program","0","February 2012","Maunds Road","Atherton","","4883","Head of Special Education Services","PO Box 574","Atherton","","4883","06","(07) 4030 5238","N","(07) 4091 3847","www.athertonshs.eq.edu.au","PY","12","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"3430","Atherton SS - Special Education Program","Special Education Program","0","February 2012","Armstrong Street","Atherton","","4883","Head of Special Education Services","PO Box 209","Atherton","","4883","05","(07) 4095 7333","N","(07) 4091 3419","","0P","07","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"2051","Atherton State High School","State High School","832","February 2012","Maunds Road","Atherton","","4883","Principal","PO Box 574","Atherton","","4883","10","(07) 4030 5222","N","(07) 4091 3847","www.athertonshs.eq.edu.au","08","12","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"0789","Atherton State School","State School","670","February 2012","Armstrong Street","Atherton","","4883","Principal","PO Box 209","Atherton","","4883","09","(07) 4095 7333","N","(07) 4091 3419","www.athertonss.eq.edu.au","PY","07","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
