Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,Comments
Greenslopes Transport and Main Roads Customer Service Centre,"Greenslopes Shopping Mall Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",Greenslopes Shopping Mall,"700 Logan Road, Corner Plimsoll Street",Greenslopes,4120,PO Box 9,,Greenslopes,4120,-27.51193082,153.0538829,13 23 80,(07) 3304 6350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass",
Cairns Bentley Park Transport and Main Roads Customer Service Centre,"Shop 18 Bentley Village Shopping Ctr Services: driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes",Shop 18 Bentley Village Shopping Centre,96 McLaughlin Road,Bentley Park,4869,PO Box 6542,,Cairns,4870,-17.00563066,145.7421593,13 23 80,(07) 4045 3419,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013; 19/7/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; This centre does not conduct pre-registration inspections for trailers,
Cairns Indigenous Driver Licensing Unit,"Shop 18 Bentley Village Shopping Ctr Services: learner driver licence test, practical driver testing, driver licence replacements and renewals","learner driver licence test, practical driver testing, driver licence replacements and renewals",Shop 18 Bentley Village Shopping Centre,96 McLaughlin Road,Bentley Park,4869,PO Box 6542,,Cairns,4870,-17.00564997,145.7421632,1800 130 886,(07) 4045 3349,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013; 19/7/2013,learner driver licence testing; practical driver testing for cars and trucks; driver licence replacements and renewals; The unit does not accept industry licence applications or issue industry licences or undertake any pre-registration inspections; 18+ cards,
Cleveland Transport and Main Roads Customer Service Centre,"Ross Court Ctr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Ross Court Centre,Corner Bloomfield Street and Ross Court,Cleveland,4163,PO Box 800,,Cleveland,4163,-27.53142483,153.2659055,13 23 80,(07) 3821 2232,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass in fine weather only",
Helensvale Transport and Main Roads Customer Service Centre,"Helensvale Plaza Shopping Ctr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Helensvale Plaza Shopping Centre,"Shop 9A/B, Sir John Overall Drive",Helensvale,4212,PO Box 819,,Helensvale,4212,-27.92368426,153.3344039,13 23 80,(07) 5573 6571,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 12 tonne gross vehicle mass, motorcycles and pre-registration inspections for trailers less than 4.5 tonne aggregate trailer mass in fine weather only",
Beaudesert Queensland Government Agent Program Office,"Centre 9 Arc William Street Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",Centre 9 Arcade,William Street,Beaudesert,4285,PO Box 490,,Beaudesert,4285,-27.988793,152.997317,13 23 80,(07) 5542 9450,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass","Near Mitre10, opposite RSL"
Atherton Transport and Main Roads Customer Service Centre,"13 Herberton Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,13 Herberton Road,Atherton,4883,PO Box 446,,Atherton,4883,-17.269614,145.4734,13 23 80,(07) 4091 2668,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013; 9/7/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
Barcaldine Transport and Main Roads Customer Service Centre,"74 Ash St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,74 Ash Street,Barcaldine,4725,PO Box 187,,Barcaldine,4725,-23.55327901,145.289156,(07) 4651 2700,(07) 4651 2760,,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,10:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,,24/12/2012-1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles on Tuesday, Thursday and Friday in fine weather only; practical driver testing for all licence classes",
Beenleigh Transport and Main Roads Customer Service Centre,"31 Logan River Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver test","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,31 Logan River Road,Beenleigh,4207,PO Box 407,,Beenleigh,4207,-27.7136,153.189064,13 23 80,(07) 3804 5020,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 12 tonne gross vehicle mass, motorcycles and pre-registration inspections for trailers less than 4.5 tonne aggregate trailer mass in fine weather only",
Biloela Queensland Government Agent Program Office,"60 Kariboe St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",,60 Kariboe Street,Biloela,4715,PO Box 984,,Biloela,4715,-24.401012,150.512835,(07) 4992 8700,(07) 4992 1768,,9:00,16:30,9:00,16:30,9:30,16:30,9:00,16:30,9:00,16:30,,,,, ,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Blackwater Transport and Main Roads Customer Service Centre,"8 Blain St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,8 Blain Street,Blackwater,4717,PO Box 469,,Blackwater,4717,-23.57549957,148.8899213,(07) 4986 1001,(07) 4982 6385,,9:00,16:30,9:00,16:30,10:00,16:30,9:00,16:30,9:00,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles by prior arrangement in fine weather only between 9am-1pm and 2.30pm-4pm; practical driver testing for all licence classes,
Bowen Transport and Main Roads Customer Service Centre,"6 Herbert St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, motorcycles",,6 Herbert Street,Bowen,4805,PO Box 889,,Bowen,4805,-20.01512433,148.2486499,13 23 80,(07) 4986 2719,,9:00-13:30,14:30-16:30,9:00-13:30,14:30-16:30,9:30-13:30,14:30-16:30,9:00-13:30,14:30-16:30,9:00-13:30,14:30-16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles and trailers no more than 4.5 tonnes gross vehicle mass and motorcycles in fine weather only; practical driver testing for all licence classes,
Brisbane City Transport and Main Roads Customer Service Centre,"229 Elizabeth St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",,229 Elizabeth Street,Brisbane,4000,PO Box 506,,Spring Hill,4004,-27.468834,153.028218,13 23 80,(07) 3305 8350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; this centre does not conduct any pre-registration inspections,
Bundaberg Transport and Main Roads Customer Service Centre,"14 Production St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,14 Production Street,West Bundaberg,4670,PO Box 5019,,West Bundaberg,4670,-24.890479,152.328863,13 23 80,(07) 4153 7850,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Bundaberg Transport and Main Roads Motor Vehicle Inspection Centre,"14 Production St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles",,14 Production Street,West Bundaberg,4670,PO Box 645,,Toowoomba,4350,-24.891129,152.330146,(07) 4617 6330,(07) 4635 5373,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations",
Bundall Transport and Main Roads Customer Service Centre,"30 Upton St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections, motorcycles, motorbikes",,30 Upton Street,Bundall,4217,PO Box 8550,,Gold Coast Mail Centre,9726,-28.009176,153.409815,13 23 80,(07) 5583 7405,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only,
Bundall Motor Vehicle Inspection Centre,"30 Upton St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, safety inspections, passenger transport, vehicles, taxis, limousines, buses, heavy vehicles, light vehicles","passenger transport, vehicles, taxis, limousines, buses, heavy vehicles and light vehicles safety inspections",,30 Upton Street,Bundall,4217,PO Box 8555,,GCMC,9726,-28.009176,153.409815,13 23 80,(07) 5504 1351,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations ",
Caboolture Transport and Main Roads Customer Service Centre,"Cnr Aerodrome Rd and Piper St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,Corner Aerodrome Road and Piper Street,Caboolture,4510,PO Box 1325,,Caboolture,4510,-27.083271,152.981196,13 23 80,(07) 5431 6350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services: pre-registration inspections for all vehicles and conducts practical driver testing for all licence classes,
Cairns Transport and Main Roads Customer Service Centre,"Kenny St & Owen Cl Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,Kenny St & Owen Close,Cairns,4870,PO Box 6542,,Cairns,4870,-16.934595,145.771229,13 23 80,(07) 4031 1151,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013; 19/7/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types; practical driver testing for all licence classes,
Cairns Motor Vehicle Inspection Centre,"82-86 Kenny St Services: safety inspections, passenger transport, taxis, limousines, buses, heavy vehicles","safety inspections, passenger transport, taxis, limousines, buses, heavy vehicles",,82-86 Kenny Street,Portsmith,4870,PO Box 6542,,Cairns,4870,-16.933999,145.771312,1300 784 535,(07) 4052 8632,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,24/12/2012-1/1/2013; 19/7/2013,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations",
Caloundra Transport and Main Roads Customer Service Centre,"54 Canberra Tce Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,54 Canberra Terrace,Caloundra,4551,PO Box 565,,Caloundra,4551,-26.804243,153.135868,13 23 80,(07) 5436 8250,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass and motorcycles only (pre-registration inspections are restricted to a maximum height of 2.15 metres); practical driver testing for cars only (practical driver testing restricted to a maximum height of 2.15 metres),
Cannonvale Queensland Government Agent Program Office,"11 Island Dr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, QGAP",,11 Island Drive,Cannonvale,4802,PO Box 215,,Cannonvale,4802,-20.2781,148.700941,(07) 4948 2981,(07) 4948 2899,,9:00,16:30,9:00,16:30,9:30,16:30,9:00,16:30,9:00,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles in fine weather only; Heavy vehicle and trailer inspections will no longer be conducted at Cannonvale; practical driver testing for all licence classes,
Charleville Transport and Main Roads Customer Service Centre,"Hood St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,Hood Street,Charleville,4470,PO Box 240,,Charleville,4470,-26.408759,146.244437,(07) 4654 1459,(07) 4654 2387,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne and motorcycles in fine weather only; this centre does not conduct pre-registration inspections for trailers,
Charters Towers Transport and Main Roads Customer Service Centre,"11-15 Church St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",,11-15 Church Street,Charters Towers,4820,PO Box 1471,,Charters Towers,4820,-20.071149,146.262563,13 23 80,(07) 4787 2049,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; practical driver testing for all licence classes; this centre does not conduct pre-registration inspections for trailers,
Chermside Transport and Main Roads Customer Service Centre,"766 Gympie Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",,766 Gympie Road,Chermside,4032,766 Gympie Road,,Chermside,4032,-27.38737043,153.0308311,13 23 80,(07) 3350 4102,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass  and motorcycles only (pre-registration inspections are restricted to a maximum height of 2.0 metres); this centre does not conduct pre-registration inspections for trailers,
Cloncurry Transport and Main Roads Customer Service Centre,"16-22 Ramsay St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,16-22 Ramsay Street,Cloncurry,4824,PO Box 338,,Cloncurry,4824,-20.70730007,140.5086731,13 23 80,(07) 4769 3288,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types and conducts practical driver testing for all licence classes,
Dalby Transport and Main Roads Customer Service Centre,"20 Cunningham St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,20 Cunningham Street,Dalby,4405,PO Box 767,,Dalby,4405,-27.180054,151.267749,(07) 4660 6500,(07) 4662 5274,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,25/12/2012-26/12/2012; 31/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
Darra Motor Vehicle Inspection Centre,"Argyle Pde Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Argyle Parade,Darra,4077,PO Box 984,,Sumner Park BC,4074,-27.573046,152.963038,13 23 80,(07) 3375 1285,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by approved inspections stations",
Emerald Transport and Main Roads Customer Service Centre,"83 Esmond St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,83 Esmond Street,Emerald,4720,PO Box 1787,,Emerald,4720,-23.520241,148.165404,(07) 4983 8749,(07) 4983 8750,,9:00,16:30,9:00,16:30,10:00,16:30,9:00,16:30,9:00,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Gladstone Transport and Main Roads Customer Service Centre,"2 Paterson St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,2 Paterson Street,Gladstone,4680,PO Box 1025,,Gladstone,4680,-23.865715,151.242198,13 23 80,(07) 4836 8150,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles in fine weather only; practical driver testing for all licence classes,
