Business_Key (BS),TradingName (BS),WebsiteUrl (BS),Discount_Key (BS),DiscountDetails (BS),Long Disc (NEW),DiscountDetails_Long (NEW),ParentCategory (BS),ChildCategory (BS),AustraliaWide (BS),Overseas (BS),onlinemailorder (OS),SeniorSchemeInd (BS),CarerSchemeInd (BS),Mobile Service (NEW),telephoneno (OS),email (NEW),listingaddress (OS),listingsuburb (OS),listingpostcode (OS),onlinemailorder (OS),DirectoryEdition (OS),DirectoryArea (OS),Latitude,Longitude,Latitude (New) DMSS,Longitude (New) DMSS
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Griffith St/Belyando Ave,MORANBAH,4744,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-21.999047,148.041907,21° 59' 56.57'' ,148° 2' 30.87'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,MOUNT ISA,4825,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-20.667914,139.491696,20° 40' 4.49'' ,139° 29' 30.11'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,2666 Ipswich Rd,DARRA,4076,FALSE,Greater Brisbane,Greater Brisbane,-27.573303,152.957304,27° 34' 23.89'' ,152° 57' 26.29'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Springsure Rd,EMERALD,4720,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.542627,148.172811,23° 32' 33.46'' ,148° 10' 22.12'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Reservations via Biloela,MOURA,4718,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.569221,149.976618,24° 34' 9.20'' ,149° 58' 35.82'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,TOWNSVILLE,4810,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-19.256140,146.770579,19° 15' 22.10'' ,146° 46' 14.08'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,MACKAY,4740,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-21.175978,149.181887,21° 10' 33.52'' ,149° 10' 54.79'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Reservations via Biloela,THANGOOL,4716,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.486763,150.575752,24° 29' 12.35'' ,150° 34' 32.71'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminals,BRISBANE AIRPORT,4009,FALSE,Greater Brisbane,Greater Brisbane,-27.404538,153.107529,27° 24' 16.34'' ,153° 6' 27.10'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,11-15 Albion St,WARWICK,4370,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-28.210193,152.036083,28° 12' 36.69'' ,152° 2' 9.90'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,21 Limestone St,IPSWICH,4305,FALSE,Moreton,Ipswich  Logan and Moreton Region,-27.616019,152.763378,27° 36' 57.67'' ,152° 45' 48.16'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Shop 3  11 Warner St,PORT DOUGLAS,4871,FALSE,Far North Qld,Cairns  Atherton Tablelands and Far North Qld,-16.482866,145.462243,16° 28' 58.32'' ,145° 27' 44.07'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Parramatta/Kingston Rds,LOGAN CITY,4114,FALSE,Moreton,Ipswich  Logan and Moreton Region,-27.614533,153.114062,27° 36' 52.32'' ,153° 6' 50.62'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal  Urangan,HERVEY BAY,4655,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-25.320048,152.885452,25° 19' 12.17'' ,152° 53' 7.63'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,ROCKHAMPTON,4700,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.378267,150.478234,23° 22' 41.76'' ,150° 28' 41.64'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Reservations via Emerald,SPRINGSURE,4722,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.114747,148.088833,24° 6' 53.09'' ,148° 5' 19.80'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Matilda Hwy,LONGREACH,4730,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.440658,144.251056,23° 26' 26.37'' ,144° 15' 3.80'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,COOLANGATTA,4225,FALSE,Gold Coast,Gold Coast,-28.166383,153.512692,28° 9' 58.98'' ,153° 30' 45.69'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,275 Wickham St,FORTITUDE VALLEY,4006,FALSE,Greater Brisbane,Greater Brisbane,-27.456244,153.035429,27° 27' 22.48'' ,153° 2' 7.54'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Littlefield St,BLACKWATER,4717,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.580348,148.872587,23° 34' 49.25'' ,148° 52' 21.31'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,CAIRNS,4870,FALSE,Far North Qld,Cairns  Atherton Tablelands and Far North Qld,-16.873121,145.755527,16° 52' 23.24'' ,145° 45' 19.90'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Pacific Hyundai - cnr Rowe/Cross Sts,GYMPIE,4570,FALSE,Sunshine Coast,Caboolture and the Sunshine Coast,-26.187943,152.655115,26° 11' 16.59'' ,152° 39' 18.41'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,EMERALD,4720,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.568789,148.174676,23° 34' 7.64'' ,148° 10' 28.83'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,BUNDABERG,4670,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-24.897804,152.321835,24° 53' 52.09'' ,152° 19' 18.61'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Samford Rd/Dawson Pde,KEPERRA,4054,FALSE,Greater Brisbane,Greater Brisbane,-27.411983,152.962753,27° 24' 43.14'' ,152° 57' 45.91'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,1851 Ipswich Rd,ROCKLEA,4106,FALSE,Greater Brisbane,Greater Brisbane,-27.559526,152.998190,27° 33' 34.29'' ,152° 59' 53.48'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Myall Hotel - cnr Myall/Drayton Sts,DALBY,4405,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-27.186535,151.266281,27° 11' 11.53'' ,151° 15' 58.61'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,84 Camooweal St,MOUNT ISA,4825,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-20.727390,139.492878,20° 43' 38.60'' ,139° 29' 34.36'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,3 Lawrence Dr,NERANG,4211,FALSE,Gold Coast,Gold Coast,-28.003074,153.341391,28° 0' 11.07'' ,153° 20' 29.01'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,10 Pharlap Ct,GOONDIWINDI,4390,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-28.548148,150.319104,28° 32' 53.33'' ,150° 19' 8.77'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,137 Williams Espl,PALM COVE,4879,FALSE,Far North Qld,Cairns  Atherton Tablelands and Far North Qld,-16.742394,145.670765,16° 44' 32.62'' ,145° 40' 14.75'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Canoona Rd,ROCKHAMPTON,4700,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.374278,150.479525,23° 22' 27.40'' ,150° 28' 46.29'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,167 Albert St,BRISBANE,4000,FALSE,Greater Brisbane,Greater Brisbane,-27.470435,153.026416,27° 28' 13.57'' ,153° 1' 35.10'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Northstar Mitsubishi - 43 High St,KIPPA-RING,4021,FALSE,Greater Brisbane,Greater Brisbane,-27.226995,153.092486,27° 13' 37.18'' ,153° 5' 32.95'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,cnr Ferny/Cypress Aves,SURFERS PARADISE,4217,FALSE,Gold Coast,Gold Coast,-28.001171,153.428317,28° 0' 4.22'' ,153° 25' 41.94'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Roma Airport ,ROMA,4455,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-26.542586,148.779492,26° 32' 33.31'' ,148° 46' 46.17'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Mark McCurran Real Estate - 92 Alfred St,CHARLEVILLE,4470,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-26.400894,146.240677,26° 24' 3.22'' ,146° 14' 26.44'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Ocean Breeze Resort,NOOSA,4567,FALSE,Sunshine Coast,Caboolture and the Sunshine Coast,-26.387766,153.091553,26° 23' 15.96'' ,153° 5' 29.59'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,2 Kruger Ct  Urangan,HERVEY BAY,4655,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-25.306395,152.888873,25° 18' 23.02'' ,152° 53' 19.94'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,116 Gympie Rd,STRATHPINE,4500,FALSE,Greater Brisbane,Greater Brisbane,-27.314749,152.992526,27° 18' 53.10'' ,152° 59' 33.09'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,64-70 Warrego Hwy,CHINCHILLA,4413,FALSE,South West Qld and Darling Downs,Darling Downs and South West Queensland,-26.746508,150.639377,26° 44' 47.43'' ,150° 38' 21.76'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,78 Walker St,MARYBOROUGH,4650,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-25.530491,152.699010,25° 31' 49.77'' ,152° 41' 56.44'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Airport Terminal,MAROOCHYDORE,4558,FALSE,Sunshine Coast,Caboolture and the Sunshine Coast,-26.604948,153.088570,26° 36' 17.81'' ,153° 5' 18.85'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,Reservations via Airlie Beach,PROSERPINE AIRPORT,4800,FALSE,North Qld and Whitsundays,North Queensland  Mackay and Whitsundays,-20.489198,148.552030,20° 29' 21.11'' ,148° 33' 7.31'' 
44,Avis Australia,www.avis.com.au,25,Quote P219000 for disc. Call to book. Passenger cars only.,FALSE,,Automotive,Auto - Car and 4WD Rentals,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,13 63 33,bookings@avis.com.au,1 Bradman St,TIERI,4709,FALSE,Central Qld and Wide Bay,Central Queensland and Wide Bay Burnett,-23.037833,148.346548,23° 2' 16.20'' ,148° 20' 47.57'' 
