Title,Address,Suburb,State,Postcode,Latitude,Longitude,Exact date to commence Ryan's Rule,First contact name,First contact phone,First contact email,First contact hospital email,Second contact name,Second contact phone,Second contact email,Second contact hospital email,Third contact name,Third contact phone,Third contact email,Third contact hospital email
Dalby Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Dirranbandi Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Emerald Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Gladstone Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Gold Coast University Hospital,,,,,,,5/02/2014,,,,,,,,,,,,
Goondiwindi Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Inglewood Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Injune Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Jandowae Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Kilcoy Hospital,,,,,,,19/06/2014,,,,,,,,,,,,
Kingaroy Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Logan Hospital,,,,,,,4/03/2014,,,,,,,,,,,,
Miles Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Millmerran Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Mitchell Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Mount Morgan Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Moura Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Mungindi Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Murgon Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Nanango Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Oakey Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Princess Alexandra Hospital,,,,,,,2/12/2013,,,,,,,,,,,,
Queen Elizabeth II (QEII) Hospital,,,,,,,4/08/2014,,,,,,,,,,,,
Quilpie Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Redcliffe Hospital,,,,,,,1/05/2014,,,,,,,,,,,,
Redland Hospital,,,,,,,31/03/2014,,,,,,,,,,,,
Robina Hospital,,,,,,,5/02/2014,,,,,,,,,,,,
Rockhampton Base Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Roma Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Royal Brisbane and Women's Hospital  (RBWH),,,,,,,12/05/2014,,,,,,,,,,,,
Royal Children's Hospital,,,,,,,16/12/2013,,,,,,,,,,,,
Springsure Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
St George Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Stanthorpe Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Surat Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Tara Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Texas Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Thargomindah Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
 Theodore Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Toowoomba Hospital,,,,,,,20/01/2014,,,,,,,,,,,,
Wallumbilla Hospital,,,,,,,16/12/2013,Dr Tom Gibson-EDMS South West HHS,459992771,,tom_gibson@health.qld.gov.au,Dr Cameron Bardsley- DMS St George,419708311,,tom_gibson@health.qld.gov.au,Dr Llewyn Waters A/DMS Charleville,428423236,,tom_gibson@health.qld.gov.au
Wandoan Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Warwick Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Wondai Hospital,,,,,,,20/01/2014,Dr Peter Gilllies,429591006,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Hwee Sin Chong,427129765,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au,Dr Martin Byrne,408447989,DDHHS_PSO@health.qld.gov.au,Peter_Gillies@health.qld.gov.au
Woorabinda Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
Wynnum Hospital,,,,,,,31/03/2014,,,,,,,,,,,,
Yeppoon Hospital,,,,,,,27/12/2013,Director of Medical Services-Rockhampton Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Director of Medical Services (DMS)-Gladstone Hospital,0749206211 - switch,,cgqsu@health.qld.gov.au,Executive Director of Medical Services  (EDMS)-Central Queensland HHS,0749206211 - switch,,cgqsu@health.qld.gov.au
