Title,Location,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,Facilities
Bowen Magistrates Court,Bowen,Herbert Street,,Bowen ,4805,PO Box 206,,BOWEN ,4805,-20.012195,148.246291,(07) 4761 3701,(07) 4761 3717,Courthouse.bowen@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
Brisbane Childrens Court,Brisbane,30 - 40 Quay Street,,Brisbane,4001,GPO Box 1649,,BRISBANE,4001,-27.467651,153.013544,(07) 3235 9841,(07) 3235 9890,brisbane.childrenscourt@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Brisbane District Court,Brisbane,"QEII Courts of Law Complex
415 George Street",,Brisbane,4000,PO Box 15167,,BRISBANE,4000,-27.467811,153.020497,"(07) 3247 4313
(07) 3247 4761 (Jury service)
(07) 3030 0327 (Jury-recorded message)
(07) 3247 4771 (After hours access-urgent hearings)",(07) 3247 5316,"courtinfo@justice.qld.gov.au (General register enquiries)
DC-PEListmanager@justice.qld.gov.au (Planning and environment court)
EmailDC-Appeals@justice.qld.gov.au (District court appeals)","8:30am-17:00pm - Monday - Friday (Telephone enquiries)
9:00am-16:00pm - Monday - Friday (Counter enquiries)",9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,,DJAG,,
Brisbane Magistrates Court,Brisbane,363 George Street,,Brisbane,4001,GPO Box 1649,,BRISBANE,4001,-27.467929,153.021531,"(07) 3247 5598
(07) 3247 5598 (Court enquiries)
(07) 3247 4760 (Roma Street Courts)
(07) 3235 9841 (Childrens Court) 
(07) 3247 4612 (Domestic violence)
(07) 3247 4606 (Office of the State Coroner)
(07) 3239 0450 (Directorate)
(07) 3247 4631 (Office of the Chief Magistrate)
(07) 3109 9011 (Court security) ",(07) 3247 5669,courthouse.Brisbane@justice.qld.gov.au,8:30am-4:30pm - Monday - Friday,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
Brisbane Supreme Court,Brisbane,"QEII Courts of Law Complex
415 George Street",,Brisbane,4000,PO Box 15167,,BRISBANE,4000,-27.467811,153.020497,"(07) 3247 4313
(07) 3247 4761 (Jury service enquiries)
(07) 3030 0327 (Jury-recorded message)
(07) 3247 4771 (After hours access-urgent hearings)",(07) 3247 5316,courtinfo@justice.qld.gov.au,"8:30am-5:00pm - Monday - Friday (Telephone enquiries)
9:00am-4:00pm - Monday - Friday (Counter enquiries)",9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,,DJAG,,
Bundaberg District Court,Bundaberg,44 Quay Street,,Bundaberg,4670,PO Box 908,,BUNDABERG,4670,-24.865579,152.347499,(07) 4131 5667,(07) 4153 3420,Courthouse.bundaberg@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Remote witness room
Bundaberg Magistrates Court,Bundaberg,44 Quay Street,,Bundaberg,4670,PO Box 908,,BUNDABERG,4670,-24.865579,152.347499,"(07) 4131 5667
(07) 4131 5667 (Coroner)","(07) 4153 3420
(07) 4153 3420 (Coroner)",courthouse.bundaberg@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
Bundaberg Supreme Court,Bundaberg,44 Quay Street,,Bundaberg,4670,PO Box 908,,BUNDABERG,4670,-24.865579,152.347499,(07) 4131 5667,(07) 4153 3420,Courthouse.bundaberg@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Caboolture Magistrates Court,Caboolture,30 King Street,,Caboolture,4510,PO Box 244,,CABOOLTURE,4510,-27.085045,152.951956,(07) 5431 2200,(07) 5431 2211,courthouse.caboolture@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
Cairns District Court,Cairns,5D Sheridan Street,,Cairns,4870,PO Box 7515,,CAIRNS,4870,-16.926828,145.775694,(07) 4039 8885,(07) 4039 8919,Cairns.HCRegistry@justice.qld.gov.au ,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wi-Fi
Videoconferencing
Remote witness room"
Cairns Magistrates Court,Cairns,5D Sheridan Street,,Cairns,4870,PO Box 1110,,CAIRNS,4870,-16.926828,145.775694,(07) 4039 8900,(07) 4039 8933,courthouse.cairns@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wi-Fi
Videoconferencing
Remote witness room"
Cairns Supreme Court,Cairns,5D Sheridan Street,,Cairns,4870,PO Box 7515,,CAIRNS,4870,-16.926828,145.775694,(07) 4039 8885,(07) 4039 8919,Cairns.HCRegistry@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Caloundra Magistrates Court,Caloundra,3 Gregson Place,,Caloundra,4551,PO Box 250,,CALOUNDRA,4551,-26.801381,153.118745,(07) 5420 9000,(07) 5491 8014,courthouse.caloundra@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room"
Charleville District Court,Charleville,43 Alfred street,,Charleville,4470,PO Box 141,,CHARLEVILLE,4470,-26.402472,146.236532,(07) 4656 5011,(07) 4656 5018,courthouse.charleville@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Charters Towers District Court,Charters Towers,26-30 Hodgkinson Street,,Charters Towers,4820,PO Box 176,,CHARTERS TOWERS,4820,-20.07793,146.263093,(07) 4761 5120,(07) 4761 5129,courthouse.charterstowers@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Charters Towers Magistrates Court,Charters Towers,26-30 Hodgkinson Street,,Charters Towers,4820,PO Box 176,,CHARTERS TOWERS,4820,-20.07793,146.263093,(07) 4761 5125,(07) 4761 5129,courthouse.charterstowers@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
"Cherbourg Magistrates Court
",Murgon,Stephens Street,,Murgon ,4605,PO Box 254,,MURGON,4605,-26.239818,151.940334,(07) 4168 1801,(07) 4168 1669,courthouse.murgon@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,Please direct all enquirires to the Murgon Magistrates Court,
Childers Magistrates Court,Childers,67 Churchill Street,,Childers,4660,PO Box 39,,CHILDERS,4660,-25.236114,152.27781,(07) 4126 1455,(07) 4126 1208,courthouse.childers@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Chinchilla Magistrates Court,Chincilla,Heeney Street,,Chinchilla,4413,PO Box 277,,CHINCHILLA,4413,-26.739629,150.624896,(07) 4662 7017,(07) 4662 7021,courthouse.chinchilla@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Clermont District Court,Clermont,44 Daintree Street,,Clermont,4721,PO Box 283,,CLERMONT,4721,-22.82425,147.639669,(07) 4983 1233,(07) 4983 3164,courthouse.clermont@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Clermont Magistrates Court,Clermont,44 Daintree Street,,Clermont,4721,PO Box 283,,CLERMONT,4721,-22.82425,147.639669,(07) 4983 1233,(07) 4983 3164,courthouse.clermont@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cleveland Magistrates Court,Cleveland,5 Middle Street,,Cleveland,4163,PO Box 10,,CLEVELAND,4163,-27.525539,153.263353,(07) 3383 0733,(07) 3383 0744,courthouse.cleveland@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cloncurry District Court,Cloncurry,Sheaffe Streeet,,Cloncurry,4824,PO Box 335,,CLONCURRY,4824,-20.704353,140.505613,(07) 4742 3000,(07) 4742 3006,courthouse.cloncurry@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cloncurry Magistrates Court,Cloncurry,Sheaffe Streeet,,Cloncurry,4824,PO Box 335,,CLONCURRY,4824,-20.704353,140.505613,(07) 4742 3000,(07) 4742 3006,courthouse.cloncurry@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cooktown Magistrates Court,Cooktown,172 Charlotte Street,,Cooktown,4895,PO Box 91,,COOKTOWN,4895,-15.461985,145.250595,(07) 4069 5333,(07) 4069 5864,courthouse.cooktown@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,Remote Witness Room
Coolangatta Magistrates Court,Coolangatta,Musgrave Street,,Coolangatta,4225,PO Box 375,,COOLANGATTA,4225,-28.168351,153.53848,(07) 5569 3040,(07) 5569 3044,courthouse.coolangatta@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cunnamulla District Court,Cunnamulla,Cnr Stockyard and Louise Streets,,Cunnamulla,4490,PO Box 227,,CUNNAMULLA,4490,-28.06986,145.682244,(07) 4655 1331,(07) 4655 1422,courthouse.cunnamulla@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Cunnamulla Magistrates Court,Cunnamulla,Cnr Stockyard and Louise Streets,,Cunnamulla,4490,PO Box 227,,CUNNAMULLA,4490,-28.06986,145.682244,(07) 4655 1331,(07) 4655 1422,courthouse.cunnamulla@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Dalby District Court,Dalby,Cnr Cunningham and Drayton Streets,,Dalby,4405,PO Box 277,,DALBY,4405,-27.183614,151.26332,(07) 4672 1810,(07) 4672 1819,courthouse.dalby@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-4:30,,,,,DJAG,,
Dalby Magistrates Court,Dalby,Cnr Cunningham and Drayton Streets,,Dalby,4405,PO Box 277,,DALBY,4405,-27.183614,151.26332,"(07) 4672 1810
(07) 4672 1812 (Coroner)",(07) 4672 1819,courthouse.dalby@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Videoconferencing
Emerald District Court,Emerald,Egerton Street,,Emerald,4720,PO Box 989,,EMERALD,4720,-23.525588,148.161498,(07) 4982 1877,(07) 4982 4342,courthouse.emerald@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Emerald Magistrates Court,Emerald,Egerton Street,,Emerald,4720,PO Box 989,,EMERALD,4720,-23.525588,148.161498,(07) 4982 1877,(07) 4982 4342,courthouse.emerald@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Gatton Magistrates Court,Gatton,7 William Street,,Gatton,4343,PO Box 413,,GATTON,4343,-27.556605,152.278833,(07) 5462 1155,(07) 5462 3436,courthouse.gatton@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Gayndah Magistrates Court,Gayndah,20 Capper Street,,Gayndah,4625,PO Box 249,,GAYNDAH,4625,-25.625522,151.609046,(07) 4161 1655,(07) 4161 2221,courthouse.gayndah@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Gladstone District Court,Gladstone,14 Yarroon Street,,Gladstone,4680,PO Box 5045,,GLADSTONE,4680,-23.839128,151.255988,(07) 4971 2423,(07) 4971 2410,courthouse.gladstone@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Remote witness room
Gladstone Magistrates Court,Gladstone,14 Yarroon Street,,Gladstone,4680,PO Box 5045,,GLADSTONE,4680,-23.839128,151.255988,(07) 4971 2423,(07) 4971 2410,courthouse.gladstone@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:0016:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Goondiwindi District Court,Goondiwindi,21 Herbert Street,,Goondiwindi,4390,PO Box 470,,GOONDIWINDI,4390,-28.544836,150.305308,(07) 4671 8100,(07) 4671 3220,courthouse.goondiwindi@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-1630,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Goondiwindi Magistrates Court,Goondiwindi,21 Herbert Street,,Goondiwindi,4390,PO Box 470,,GOONDIWINDI,4390,-28.544836,150.305308,(07) 4671 8100,(07) 4671 3220,courthouse.goondiwindi@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Gympie District Court,Gympie,38 Channon Street,,Gympie,4570,PO Box 133,,GYMPIE,4570,-26.18713,152.659383,(07) 5480 5488,(07) 5480 5499,courthouse.gympie@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Remote witness room
Gympie Magistrates Court,Gympie,38 Channon Street,,Gympie,4570,PO Box 133,,GYMPIE,4570,-26.18713,152.659383,"(07) 5480 5488
(07) 5480 5488 (Coroner)",(07) 5480 5499,courthouse.gympie@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote witness room
Justice of the peace at the following times
Monday: 1pm - 4pm
Wednesday: 10am - 1pm
Friday: 10am - 1pm
"
Hervey Bay District Court,Hervey Bay,Crn Queens Road and Freshwater Street,,Hervey Bay,4655,PO Box 321,,HERVEY BAY,4655,-25.285227,152.853632,(07) 4125 9300,(07) 4125 9315,courthouse.herveybay@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Hervey Bay Magistrates Court,Hervey Bay,Crn Queens Road and Freshwater Street,,Hervey Bay,4655,PO Box 321,,HERVEY BAY,4655,-25.285227,152.853632,"(07) 4125 9300
(07) 4125 9300 (Coroner)",(07) 4125 9315,courthouse.herveybay@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Holland Park Magistrates Court,Holland Park,Marshall Road,,Holland Park,4121,PO Box 135,,HOLLAND PARK,4121,-27.526055,153.05441,(07) 3336 0885,(07) 3336 0889,courthouse.hollandpark@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Hughenden District Court,Hughenden,Brodie Street,,Hughenden,4821,PO Box 153,,HUGHENDEN,4821,-20.842422,144.199941,(07) 4741 1735,(07) 4741 1412,courthouse.hughenden@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Hughenden Magistrates Court,Hughenden,Brodie Street,,Hughenden,4821,PO Box 153,,HUGHENDEN,4821,-20.842422,144.199941,(07) 4741 1735,(07) 4741 1412,courthouse.hughenden@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Ingham Magistrates Court,Ingham,35 Palm Terrace,,Ingham,4850,PO Box 987,,INGHAM,4850,-18.651315,146.156358,(07) 4761 7401,(07) 4761 7407,courthouse.ingham@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Innisfail District Court,Innisfail,10 Edith Street,,Innisfail,4860,PO Box 133,,INNISFAIL,4860,-17.52436,146.031652,(07) 4048 3300,(07) 4061 4239,courthouse.innisfail@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Innisfail Magistrates Court,Innisfail,10 Edith Street,,Innisfail,4860,PO Box 133,,INNISFAIL,4860,-17.52436,146.031652,(07) 4048 3300,(07) 4061 4239,courthouse.innisfail@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
